graph_name,total_depth,mean_depth,relative_asymmetry
55865,24.0,2.6666666666666665,0.41666666666666663
16048,18.0,2.25,0.35714285714285715
108101,9.0,0.75,-0.045454545454545456
44716,20.0,2.0,0.2222222222222222
18138,17.0,2.4285714285714284,0.4761904761904761
154433,16.0,1.6,0.13333333333333336
96114,8.0,0.8888888888888888,-0.02777777777777779
100921,6.0,0.8571428571428571,-0.04761904761904764
20900,14.0,2.0,0.3333333333333333
55910,19.0,1.3571428571428572,0.05494505494505496
20184,22.0,2.2,0.2666666666666667
96801,14.0,1.75,0.21428571428571427
23103,21.0,1.9090909090909092,0.18181818181818182
14463,11.0,1.5714285714285714,0.19047619047619047
143731,17.0,2.4285714285714284,0.4761904761904761
152851,21.0,3.0,0.6666666666666666
16813,11.0,1.2222222222222223,0.05555555555555558
16677,11.0,1.1,0.02222222222222224
10691,20.0,1.5384615384615385,0.08974358974358976
18257,5.0,1.25,0.16666666666666666
20504,-5.0,-0.7142857142857143,-0.5714285714285715
13743,20.0,2.5,0.42857142857142855
8393,5.0,0.8333333333333334,-0.06666666666666665
60452,7.0,1.1666666666666667,0.0666666666666667
41806,19.0,2.111111111111111,0.2777777777777778
147233,22.0,1.6923076923076923,0.11538461538461538
71484,-3.0,-0.375,-0.39285714285714285
70566,18.0,2.5714285714285716,0.5238095238095238
95095,12.0,1.5,0.14285714285714285
65415,17.0,1.7,0.15555555555555556
100788,21.0,2.3333333333333335,0.33333333333333337
142502,6.0,0.8571428571428571,-0.04761904761904764
109327,10.0,1.1111111111111112,0.02777777777777779
139478,15.0,2.142857142857143,0.38095238095238093
97837,19.0,2.7142857142857144,0.5714285714285715
108012,16.0,1.6,0.13333333333333336
29922,18.0,2.25,0.35714285714285715
100785,17.0,1.8888888888888888,0.2222222222222222
71308,-1.0,-0.16666666666666666,-0.4666666666666667
59589,12.0,1.5,0.14285714285714285
28123,20.0,2.0,0.2222222222222222
9053,13.0,1.8571428571428572,0.28571428571428575
47755,18.0,2.0,0.25
34104,15.0,1.875,0.25
23461,11.0,1.5714285714285714,0.19047619047619047
143923,17.0,2.4285714285714284,0.4761904761904761
12668,14.0,2.0,0.3333333333333333
24479,17.0,1.7,0.15555555555555556
20514,-6.0,-0.75,-0.5
19199,4.0,0.5714285714285714,-0.14285714285714288
37796,18.0,2.25,0.35714285714285715
7025,18.0,2.5714285714285716,0.5238095238095238
14506,12.0,0.9230769230769231,-0.012820512820512811
108222,19.0,1.9,0.19999999999999998
42387,24.0,2.4,0.3111111111111111
93879,10.0,0.9090909090909091,-0.018181818181818188
60526,9.0,1.2857142857142858,0.09523809523809527
48741,7.0,0.7,-0.06666666666666668
93151,15.0,2.142857142857143,0.38095238095238093
45823,29.0,2.9,0.4222222222222222
17973,13.0,1.4444444444444444,0.1111111111111111
43343,12.0,2.4,0.7
147174,16.0,2.0,0.2857142857142857
